"abd","C.ach","C.akw","C.ata","C.kma","C.oro","C.pad","C.paj","C.pal","age","fthr.ed","mthr.ed","orphan96","fthr.frm","hh.size96","educ"
1,0,0,0,1,0,0,0,0,21,7,4,0,1,9,6
1,0,0,0,1,0,0,0,0,29,7,4,0,1,9,3
1,0,0,0,1,0,0,0,0,23,7,0,0,1,2,4
1,0,0,0,1,0,0,0,0,18,0,0,0,1,6,7
1,0,0,0,1,0,0,0,0,18,4,4,0,1,5,7
1,0,0,0,1,0,0,0,0,25,7,4,0,0,9,7
1,0,0,0,1,0,0,0,0,23,7,0,0,1,11,7
0,0,0,0,1,0,0,0,0,29,7,0,0,1,11,7
1,0,0,0,1,0,0,0,0,28,7,4,0,1,5,7
1,0,0,0,1,0,0,0,0,22,7,4,0,1,8,8
1,0,0,0,1,0,0,0,0,14,10,10,0,1,7,5
1,0,0,0,1,0,0,0,0,19,0,4,1,1,6,8
1,0,0,0,1,0,0,0,0,26,10,4,0,1,7,7
1,0,0,0,1,0,0,0,0,30,7,0,0,1,17,12
1,0,0,0,1,0,0,0,0,23,4,0,0,1,17,7
1,0,0,0,1,0,0,0,0,17,7,4,1,1,8,3
1,0,0,0,1,0,0,0,0,15,10,10,0,0,4,7
0,0,0,0,1,0,0,0,0,14,0,0,0,1,17,6
1,0,0,0,1,0,0,0,0,30,4,0,0,1,6,4
1,0,0,0,1,0,0,0,0,25,7,0,0,1,7,11
1,0,0,0,1,0,0,0,0,23,0,7,0,1,7,2
1,0,0,0,1,0,0,0,0,15,7,10,0,1,7,5
1,0,0,0,1,0,0,0,0,25,4,0,0,1,9,4
1,0,0,0,1,0,0,0,0,19,4,0,0,1,7,1
0,0,0,0,1,0,0,0,0,19,4,4,0,1,6,7
1,0,0,0,1,0,0,0,0,17,10,0,0,1,16,10
1,0,0,0,1,0,0,0,0,18,12,7,0,1,15,7
1,0,0,0,1,0,0,0,0,20,12,4,0,1,8,6
1,0,0,0,1,0,0,0,0,21,7,4,0,1,6,11
1,0,0,0,1,0,0,0,0,19,10,4,1,1,5,8
1,0,0,0,1,0,0,0,0,30,4,0,1,1,5,4
1,0,0,0,1,0,0,0,0,15,12,4,0,1,6,6
1,0,0,0,1,0,0,0,0,29,0,4,0,1,8,4
0,0,0,0,1,0,0,0,0,16,0,0,0,1,8,7
