"id","district","treatment","pre_tax","post_tax","change"
1,"Snake Lounge",0,1687.643767072,1705.57905943067,17.9352923586671
2,"Snake Lounge",0,427.295274290587,438.252635663357,10.9573613727702
3,"Snake Lounge",0,566.469261700601,559.66639850828,-6.80286319232118
4,"Snake Lounge",0,606.929390744156,623.90570626043,16.9763155162736
5,"Snake Lounge",0,572.64024847115,606.865425483115,34.2251770119656
6,"Snake Lounge",0,496.081322586277,501.80012308521,5.7188004989323
7,"Snake Lounge",0,658.728299615841,670.438460688752,11.7101610729115
8,"Snake Lounge",0,497.801144238035,522.321859268538,24.5207150305025
9,"Snake Lounge",0,814.763557081556,846.204895582935,31.4413385013785
10,"Snake Lounge",0,502.592885142137,509.952450847405,7.3595657052681
11,"Snake Lounge",0,707.730448133523,717.427707393453,9.69725925993043
12,"Snake Lounge",0,854.996808905166,852.340597413148,-2.65621149201797
13,"Snake Lounge",0,223.670894833149,240.822730168838,17.151835335689
14,"Snake Lounge",0,470.181684977394,498.499698263361,28.3180132859668
15,"Snake Lounge",0,492.001799540951,506.841450297228,14.839650756277
16,"Snake Lounge",0,607.392559710511,631.525451393867,24.1328916833561
17,"Snake Lounge",0,469.362061787589,485.5909963281,16.2289345405104
18,"Snake Lounge",0,113.531686864284,131.864670078108,18.332983213824
19,"Snake Lounge",0,65.9299607136721,91.2752974009306,25.3453366872585
20,"Snake Lounge",0,710.017001859529,731.294678087801,21.2776762282721
21,"Snake Lounge",0,466.004210888229,462.537766535051,-3.46644435317825
22,"Snake Lounge",0,244.803734903,272.179051750571,27.3753168475706
23,"Snake Lounge",0,486.212396636057,501.831086686783,15.6186900507267
24,"Snake Lounge",0,694.20120487589,732.327470695305,38.1262658194155
25,"Snake Lounge",0,716.279019189745,756.966303295978,40.6872841062337
26,"Snake Lounge",0,447.42963025907,453.594362753495,6.16473249442475
27,"Snake Lounge",0,473.409592584661,507.52281481627,34.1132222316095
28,"Snake Lounge",0,247.525537220783,265.194412199603,17.6688749788204
29,"Snake Lounge",0,581.014603224691,592.496001782845,11.4813985581543
30,"Snake Lounge",0,416.000768605982,432.226647616405,16.2258790104225
31,"Snake Lounge",0,500.317518486183,520.59961319483,20.2820947086472
32,"Snake Lounge",0,617.725600584323,631.749860154807,14.0242595704847
33,"Snake Lounge",0,667.265528295488,673.269054296655,6.00352600116662
34,"Snake Lounge",0,420.661043688918,438.726323656823,18.0652799679044
35,"Snake Lounge",0,587.743268494695,592.106216055565,4.36294756086932
36,"Snake Lounge",0,254.448698138999,268.56793928175,14.1192411427517
37,"Snake Lounge",0,464.331148743076,491.423497854354,27.0923491112785
38,"Snake Lounge",0,384.363860873522,387.600788238508,3.2369273649856
39,"Snake Lounge",0,149.868852508005,164.222832140545,14.3539796325395
40,"Snake Lounge",0,517.418391033838,540.130742994162,22.7123519603236
41,"Snake Lounge",0,542.899790030038,559.042259408805,16.1424693787666
42,"Snake Lounge",0,457.8414052177,469.278082870261,11.4366776525611
43,"Snake Lounge",0,545.724485354928,552.446644129456,6.72215877452891
44,"Snake Lounge",0,402.994275938514,417.270210206576,14.2759342680619
45,"Snake Lounge",0,306.757843337106,336.494232557703,29.7363892205976
46,"Snake Lounge",0,576.922703883308,588.04199183495,11.1192879516425
47,"Snake Lounge",0,390.291023571999,401.675423466493,11.3843998944934
48,"Snake Lounge",0,728.615189258188,746.693017974537,18.0778287163487
49,"Snake Lounge",0,367.283069607998,384.316744846971,17.033675238973
50,"Snake Lounge",0,610.347182510331,642.710019823443,32.3628373131124
51,"Snake Lounge",0,560.288789780592,593.93609166095,33.6473018803583
52,"Snake Lounge",0,394.424158867944,397.813485538585,3.38932667064171
53,"Snake Lounge",0,748.359127968797,769.660355860032,21.3012278912358
54,"Snake Lounge",0,608.434895857597,628.493947330269,20.0590514726714
55,"Snake Lounge",0,445.464096989941,460.967978942755,15.5038819528141
56,"Snake Lounge",0,553.482612093719,571.040974740854,17.5583626471343
57,"Snake Lounge",0,613.893322408291,638.872287856342,24.9789654480517
58,"Snake Lounge",0,525.474932986862,549.036291781874,23.5613587950115
59,"Snake Lounge",0,263.03648752706,267.567318395073,4.53083086801354
60,"Snake Lounge",0,554.732443029599,581.403620070183,26.6711770405846
61,"Snake Lounge",0,376.914803588854,407.05296961014,30.1381660212862
62,"Snake Lounge",0,539.784584729841,559.829372357564,20.0447876277221
63,"Snake Lounge",0,599.273559104826,587.735701695978,-11.5378574088481
64,"Snake Lounge",0,721.960524093902,751.267387821126,29.3068637272239
65,"Snake Lounge",0,402.90619107883,403.137758589132,0.231567510301602
66,"Snake Lounge",0,707.381394806622,738.228675201153,30.8472803945313
67,"Snake Lounge",0,482.377217962811,496.45502410574,14.0778061429289
68,"Snake Lounge",0,667.775914804643,674.539689199021,6.76377439437761
69,"Snake Lounge",0,650.109285243597,648.628644024156,-1.48064121944117
70,"Snake Lounge",0,620.131724430029,644.574819012683,24.4430945826537
71,"Snake Lounge",0,355.532159214822,366.962795577651,11.4306363628293
72,"Snake Lounge",0,498.472042008394,511.85188942194,13.3798474135456
73,"Snake Lounge",0,675.527724299931,691.775506222593,16.2477819226619
74,"Snake Lounge",0,368.971496334148,381.086783260696,12.115286926548
75,"Snake Lounge",0,430.575677813922,433.75661584311,3.18093802918867
76,"Snake Lounge",0,599.149474652252,590.220196054015,-8.92927859823726
77,"Snake Lounge",0,627.226810675189,650.739621619168,23.5128109439789
78,"Snake Lounge",0,581.565138281025,605.983187283193,24.4180490021678
79,"Snake Lounge",0,299.133555388548,311.275120860071,12.1415654715228
80,"Snake Lounge",0,347.032865202822,355.658872294477,8.62600709165525
81,"Snake Lounge",0,738.906051470739,764.062295174165,25.1562437034261
82,"Snake Lounge",0,550.688215629805,558.065551746957,7.37733611715191
83,"Snake Lounge",0,525.266034373938,546.01427234264,20.7482379687021
84,"Snake Lounge",0,493.865519369137,495.275120242134,1.40960087299771
85,"Snake Lounge",0,252.850665725921,276.870344286725,24.0196785608043
86,"Snake Lounge",0,603.799534706058,621.777387071339,17.9778523652813
87,"Snake Lounge",0,479.429023138022,494.4012468061,14.9722236680779
88,"Snake Lounge",0,484.586494050212,497.269883980782,12.68338993057
89,"Snake Lounge",0,652.001949285674,678.757537285936,26.7555880002616
90,"Snake Lounge",0,635.265966576237,662.042034068599,26.776067492362
91,"Snake Lounge",0,640.817456390141,668.816481309769,27.999024919628
92,"Snake Lounge",0,440.573911541799,479.47773985765,38.9038283158516
93,"Snake Lounge",0,609.552284108946,618.050738554961,8.49845444601522
94,"Snake Lounge",0,720.6665684585,726.132511347778,5.46594288927758
95,"Snake Lounge",0,345.381668082815,381.111270167129,35.7296020843138
96,"Snake Lounge",0,382.881111968324,399.741785743094,16.8606737747705
97,"Snake Lounge",0,262.239197871934,289.988518333281,27.7493204613466
98,"Snake Lounge",0,293.117900074641,310.448736593384,17.3308365187437
99,"Snake Lounge",0,523.997382986174,525.438324220904,1.44094123472962
100,"Snake Lounge",0,609.980650947379,635.850256914461,25.8696059670825
101,"Snake Lounge",0,1092.14480633977,1113.12301278171,20.9782064419333
102,"Snake Lounge",0,668.712663075159,671.773647296035,3.06098422087587
103,"Snake Lounge",0,281.518702974023,291.994023152918,10.4753201788954
104,"Snake Lounge",0,789.272285250912,801.015795284784,11.7435100338721
105,"Snake Lounge",0,411.983988686327,427.269947134068,15.2859584477404
106,"Snake Lounge",0,527.82707186841,537.32673878256,9.49966691414932
107,"Snake Lounge",0,448.661617719672,458.249281120418,9.58766340074641
108,"Snake Lounge",0,493.647474206754,510.784119752242,17.1366455454875
109,"Snake Lounge",0,610.228955175225,626.125070782631,15.8961156074059
110,"Snake Lounge",0,529.874143699551,522.608355075276,-7.26578862427459
111,"Snake Lounge",0,508.23611736989,514.876784764766,6.64066739487629
112,"Snake Lounge",0,528.210909191305,539.800740795971,11.589831604666
113,"Snake Lounge",0,439.184714623,459.26345273642,20.0787381134198
114,"Snake Lounge",0,436.367430396814,456.680016099951,20.3125857031367
115,"Snake Lounge",0,182.835138012778,193.745021063212,10.9098830504338
116,"Snake Lounge",0,454.649940968927,461.548651855816,6.89871088688841
117,"Snake Lounge",0,635.10246131833,645.781877001542,10.6794156832124
118,"Snake Lounge",0,917.28365005172,931.261664177216,13.9780141254961
119,"Snake Lounge",0,307.682565321542,320.138959348328,12.4563940267857
120,"Snake Lounge",0,532.588432783791,546.048147684662,13.4597149008712
121,"Snake Lounge",0,207.956239902556,221.412116216101,13.4558763135443
122,"Snake Lounge",0,291.434638784481,283.414239147918,-8.02039963656279
123,"Snake Lounge",0,530.705357929551,560.364939060662,29.6595811311111
124,"Snake Lounge",0,362.504129767394,364.617199711291,2.1130699438969
125,"Snake Lounge",0,511.726607854294,514.621286368699,2.89467851440509
126,"Snake Lounge",0,447.761167786128,460.077534875538,12.3163670894105
127,"Snake Lounge",0,339.949259032576,361.783183851114,21.8339248185382
128,"Snake Lounge",0,208.298323187134,220.101631878115,11.8033086909816
129,"Snake Lounge",0,328.287807446002,349.739557687874,21.451750241872
130,"Snake Lounge",0,538.927466167691,549.810467293113,10.8830011254224
131,"Snake Lounge",0,597.14308916353,610.224994441463,13.0819052779328
132,"Snake Lounge",0,438.068396966979,444.439474151282,6.37107718430269
133,"Snake Lounge",0,432.009432609803,442.042899941613,10.0334673318108
134,"Snake Lounge",0,680.433446506995,677.155699328155,-3.27774717884029
135,"Snake Lounge",0,727.978361446428,739.813233203071,11.8348717566424
136,"Snake Lounge",0,347.432934739127,343.227309479049,-4.20562526007814
137,"Snake Lounge",0,494.402065962474,511.028653823139,16.6265878606658
138,"Snake Lounge",0,692.224760137955,735.283364574262,43.0586044363066
139,"Snake Lounge",0,361.540562915055,357.521461660375,-4.01910125467947
140,"Snake Lounge",0,504.129577259151,505.396988929126,1.26741166997544
141,"Snake Lounge",0,499.083905264437,511.147028207188,12.0631229427515
142,"Snake Lounge",0,378.848147314035,384.936927448698,6.08878013466295
143,"Snake Lounge",0,445.297399267289,462.658450539029,17.3610512717393
144,"Snake Lounge",0,507.583268136764,540.079662379122,32.4963942423579
145,"Snake Lounge",0,519.919672641312,547.931020307472,28.0113476661601
146,"Snake Lounge",0,679.007903505231,687.195752538989,8.18784903375877
147,"Snake Lounge",0,439.851073751903,466.796617976364,26.9455442244611
148,"Snake Lounge",0,447.024645109891,470.533712794588,23.5090676846974
149,"Snake Lounge",0,616.529386482815,637.085039841778,20.5556533589626
150,"Snake Lounge",0,353.544738024364,359.710437939548,6.16569991518446
151,"Snake Lounge",0,425.895228727318,449.138686453366,23.243457726048
152,"Snake Lounge",0,279.268276647862,301.147413773962,21.8791371261001
153,"Snake Lounge",0,687.075432385352,715.43311458042,28.3576821950678
154,"Snake Lounge",0,470.953144793888,477.864686043044,6.9115412491559
155,"Snake Lounge",0,441.823201299162,455.828526004066,14.005324704904
156,"Snake Lounge",0,326.262150802068,333.285403092073,7.0232522900049
157,"Snake Lounge",0,430.835694933401,428.659013879897,-2.17668105350401
158,"Snake Lounge",0,391.957673307251,403.836730396378,11.8790570891267
159,"Snake Lounge",0,431.976150507435,451.785000464876,19.8088499574413
160,"Snake Lounge",0,705.151286837688,724.133282673683,18.981995835995
161,"Snake Lounge",0,485.671119463681,485.342528061636,-0.32859140204522
162,"Snake Lounge",0,351.232642377399,379.144940228218,27.9122978508191
163,"Snake Lounge",0,456.481032370107,480.697094823625,24.2160624535176
164,"Snake Lounge",0,457.589237655808,465.348383504288,7.7591458484805
165,"Snake Lounge",0,600.502032198101,621.241369736524,20.7393375384235
166,"Snake Lounge",0,726.863289159649,724.264202569085,-2.59908659056373
167,"Snake Lounge",0,363.096123333576,368.959504004643,5.86338067106658
168,"Snake Lounge",0,580.197544637042,603.630326086151,23.4327814491085
169,"Snake Lounge",0,444.734708801773,455.455253132867,10.7205443310942
170,"Snake Lounge",0,646.334837339682,653.475526258852,7.14068891917066
171,"Snake Lounge",0,477.53327915806,494.345959878783,16.8126807207226
172,"Snake Lounge",0,637.492860269092,642.669473652054,5.17661338296205
173,"Snake Lounge",0,250.241620799496,248.247365161132,-1.99425563836448
174,"Snake Lounge",0,765.418838197006,782.033993523798,16.6151553267922
175,"Snake Lounge",0,761.716696777787,774.666237066423,12.9495402886363
176,"Snake Lounge",0,489.383601667138,502.406514375821,13.0229127086831
177,"Snake Lounge",0,294.648930479125,317.264238371832,22.6153078927069
178,"Snake Lounge",0,608.451305006297,619.834800554612,11.3834955483143
179,"Snake Lounge",0,584.479079572215,596.638308273089,12.1592287008743
180,"Snake Lounge",0,511.046656036792,511.671201623519,0.624545586727038
181,"Snake Lounge",0,604.718383929364,600.954237090607,-3.76414683875623
182,"Snake Lounge",0,424.383654447529,434.722227601224,10.3385731536948
183,"Snake Lounge",0,567.321009894536,569.053431692845,1.73242179830845
184,"Snake Lounge",0,556.198150957927,571.96459039152,15.7664394335922
185,"Snake Lounge",0,470.111093998614,481.660481080547,11.5493870819336
186,"Snake Lounge",0,311.564501766027,338.613797147653,27.0492953816262
187,"Snake Lounge",0,537.112322766005,547.122486883001,10.010164116996
188,"Snake Lounge",0,595.129493341105,606.227786405585,11.0982930644797
189,"Snake Lounge",0,386.554011079788,395.698645394724,9.14463431493624
190,"Snake Lounge",0,272.811775699064,285.126354605728,12.3145789066649
191,"Snake Lounge",0,542.743787088145,554.694219631755,11.9504325436098
192,"Snake Lounge",0,460.236803304066,481.90977772585,21.672974421784
193,"Snake Lounge",0,469.891755504668,471.506082360746,1.61432685607747
194,"Snake Lounge",0,317.899630177317,335.508264887293,17.6086347099764
195,"Snake Lounge",0,368.124433342946,380.825347995819,12.7009146528737
196,"Snake Lounge",0,674.866228051985,708.615718282047,33.7494902300616
197,"Snake Lounge",0,572.566235707357,571.694053657146,-0.872182050211109
198,"Snake Lounge",0,599.973130507895,602.197347474058,2.22421696616334
199,"Snake Lounge",0,704.284266923093,717.636819935817,13.3525530127238
200,"Snake Lounge",0,531.323214290357,554.548241188934,23.2250268985764
